ID,state,year,obesity_percentage,tobacco_percentage,per capita income,Deaths
0,Alabama,2011,32.1,15.5,34997,48681
1,Alabama,2012,33.07,23.6,35884,49301
2,Alabama,2013,32.59,22.8,36107,50189
3,Alabama,2014,33.57,13.3,37266,50215
4,Alabama,2015,35.67,17.2,38644,51909
5,Alabama,2016,35.71,17.9,39224,52466
6,Alaska,2011,27.48,16.7,52390,3849
7,Alaska,2012,26.13,24.5,53627,3912
8,Alaska,2013,28.38,21.1,52723,3997
9,Alaska,2014,29.74,14.7,55833,4128
10,Alaska,2015,30.06,15.8,57583,4316
11,Alaska,2016,31.38,11,56016,4494
12,Arizona,2011,24.79,19,34968,48381
13,Arizona,2012,25.79,15.6,36123,49549
14,Arizona,2013,26.35,14.5,36602,50534
15,Arizona,2014,28.46,17.7,38226,51538
16,Arizona,2015,27.8,13.1,39676,54299
17,Arizona,2016,28.6,21.5,40671,56645
18,Arkansas,2011,30.94,17.7,33863,29653
19,Arkansas,2012,34.25,18.5,36240,30117
20,Arkansas,2013,34.21,19.5,36235,30437
21,Arkansas,2014,35.66,22.3,38260,30467
22,Arkansas,2015,34.36,27.3,39343,31617
23,Arkansas,2016,35.46,19.7,40148,31756
24,California,2011,23.54,16.5,46170,239942
25,California,2012,24.7,25.7,48798,242554
26,California,2013,23.84,21.2,49277,248359
27,California,2014,24.51,14.3,52324,245929
28,California,2015,23.95,16.2,55758,259206
29,California,2016,24.82,19.9,57739,262240
30,Colorado,2011,20.64,15,43570,32563
31,Colorado,2012,20.42,23.4,45659,33133
32,Colorado,2013,21.04,18,47298,33712
33,Colorado,2014,21.26,25.9,50700,35237
34,Colorado,2015,20.19,21.6,52133,36349
35,Colorado,2016,22.21,15.6,52262,37530
36,Connecticut,2011,24.29,23.9,63804,29526
37,Connecticut,2012,25.52,24,64917,29316
38,Connecticut,2013,24.91,18.1,63554,29632
39,Connecticut,2014,26.27,16.2,66485,29860
40,Connecticut,2015,25.24,16.4,68288,30535
